t,x,y,vx,vy,ux,uy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.414213562373094479e+00,1.414213562373096922e+00,-1.414213562373094479e+00,1.414213562373096034e+00
1.414213562373095312e-01,-1.999999999999999556e-01,2.000000000000001776e-01,-1.414213562373094479e+00,1.414213562373095145e+00,-1.493301990535122803e+00,1.453202709968349327e+00
2.828427124746190624e-01,-3.999999999999999112e-01,4.000000000000001332e-01,-1.414213562373094923e+00,1.414213562373094701e+00,-1.363093381135383586e+00,1.512352880641306241e+00
4.242640687119285658e-01,-5.999999999999999778e-01,6.000000000000000888e-01,-1.414213562373095145e+00,1.414213562373094257e+00,-1.084592146375442212e+00,1.482885911892366737e+00
5.656854249492381248e-01,-8.000000000000000444e-01,8.000000000000000444e-01,-1.414213562373094479e+00,1.414213562373094035e+00,-9.671111990478398202e-01,1.334414618825755072e+00
7.071067811865476838e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-5.857864376269041884e-01,1.757359312880716118e+00,1.597532052248488155e-01,1.761710189142665417e+00
8.071067811865476616e-01,-1.000000000000000000e+00,1.200000000000000178e+00,0.000000000000000000e+00,2.000000000000002665e+00,-2.476898347387961608e-01,1.768530327569684202e+00
9.071067811865476394e-01,-1.000000000000000000e+00,1.400000000000000355e+00,0.000000000000000000e+00,1.999999999999999112e+00,-6.700259240456848397e-01,1.863764013500279093e+00
1.007106781186547728e+00,-1.000000000000000000e+00,1.600000000000000089e+00,0.000000000000000000e+00,1.999999999999997335e+00,-8.908848797990388535e-01,2.011035215782895680e+00
1.107106781186547817e+00,-1.000000000000000000e+00,1.800000000000000266e+00,0.000000000000000000e+00,1.999999999999998224e+00,-7.591551315093628682e-01,2.154091340709635372e+00
1.207106781186547906e+00,-1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.999999999999998224e+00,-2.767006681214143615e-01,2.238289810857334583e+00
1.307106781186547995e+00,-1.000000000000000000e+00,2.200000000000000178e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.849635943524553072e-01,2.231469672430315576e+00
1.407106781186548083e+00,-1.000000000000000000e+00,2.400000000000000355e+00,0.000000000000000000e+00,1.999999999999998224e+00,9.523290596702732591e-01,2.136235986499720241e+00
1.507106781186548172e+00,-1.000000000000000000e+00,2.600000000000000089e+00,0.000000000000000000e+00,1.999999999999998224e+00,1.172607112140838570e+00,1.988964784217103876e+00
1.607106781186548261e+00,-1.000000000000000000e+00,2.800000000000000266e+00,0.000000000000000000e+00,1.999999999999996447e+00,9.332268734979495273e-01,1.845908659290363962e+00
1.707106781186548350e+00,-1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.999999999999996447e+00,3.195064104496928570e-01,1.761710189142665195e+00
1.807106781186548439e+00,-1.000000000000000000e+00,3.200000000000000178e+00,0.000000000000000000e+00,2.000000000000000000e+00,-4.190866697439919464e-01,1.768530327569684646e+00
1.907106781186548528e+00,-1.000000000000000000e+00,3.400000000000000355e+00,0.000000000000000000e+00,2.000000000000000000e+00,-9.794563928275226150e-01,1.863764013500280203e+00
2.007106781186548616e+00,-1.000000000000000000e+00,3.600000000000000533e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.140130215745509101e+00,2.011035215782897012e+00
2.107106781186548705e+00,-1.000000000000000000e+00,3.800000000000000711e+00,5.857864376269050766e-01,1.757359312880710789e+00,5.569723339953578378e-01,1.568304903082729185e+00
2.248528137423858375e+00,-8.000000000000000444e-01,4.000000000000000000e+00,5.857864376269033002e-01,1.757359312880716118e+00,-9.610651263880706785e-03,2.198943402088366472e+00
2.348528137423858464e+00,-8.000000000000000444e-01,4.200000000000000178e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.633461497238294591e-01,2.162030046429006980e+00
2.448528137423858553e+00,-8.000000000000000444e-01,4.400000000000000355e+00,0.000000000000000000e+00,2.000000000000000000e+00,8.455425456016242292e-01,2.063226720232490319e+00
2.548528137423858642e+00,-8.000000000000000444e-01,4.600000000000000533e+00,0.000000000000000000e+00,2.000000000000000000e+00,7.659192170503127395e-01,1.940272935904343132e+00
2.648528137423858730e+00,-8.000000000000000444e-01,4.800000000000000711e+00,5.857864376269044104e-01,1.757359312880710789e+00,1.834062775724174088e+00,1.254346422385585358e+00
2.789949493661168400e+00,-5.999999999999999778e-01,5.000000000000000000e+00,1.414213562373094035e+00,1.414213562373092259e+00,1.265184060091308682e+00,1.269006230450310913e+00
2.931370849898478070e+00,-3.999999999999999112e-01,5.200000000000000178e+00,1.414213562373093591e+00,1.414213562373095812e+00,9.708084022648162392e-01,1.372305132701098218e+00
3.072792206135787740e+00,-1.999999999999999556e-01,5.400000000000000355e+00,1.414213562373093147e+00,1.414213562373092259e+00,1.081506704402150687e+00,1.436395553779553413e+00
3.214213562373097410e+00,0.000000000000000000e+00,5.600000000000000533e+00,1.414213562373094035e+00,1.414213562373095812e+00,1.358585652974088953e+00,1.414213562373094923e+00
3.355634918610407080e+00,2.000000000000001776e-01,5.800000000000000711e+00,1.414213562373094035e+00,1.414213562373092259e+00,1.491487818828540757e+00,1.374645305020080643e+00
3.497056274847716750e+00,4.000000000000001332e-01,6.000000000000000000e+00,1.414213562373093147e+00,1.414213562373092259e+00,1.414213562373094701e+00,1.412359140265477153e+00
3.638477631085026420e+00,6.000000000000000888e-01,6.200000000000000178e+00,1.414213562373093147e+00,1.414213562373095812e+00,1.333338017957937938e+00,1.528798123459460534e+00
3.779898987322336090e+00,8.000000000000000444e-01,6.400000000000000355e+00,1.414213562373093147e+00,1.414213562373092259e+00,1.460808527686559222e+00,1.609665108287370527e+00
