t,x,y,vx,vy,ux,uy
0.000000000000000000e+00,1.403561711311340332e+00,-7.281903922557830811e-02,5.976877212524414062e-01,1.234167814254760742e-01,5.784293174743652344e+00,2.168655395507812500e+00
2.506265649572014809e-03,1.426441669464111328e+00,-7.387752830982208252e-02,6.206147074699401855e-01,1.303350329399108887e-01,5.779745578765869141e+00,2.167239427566528320e+00
5.012531299144029617e-03,1.449370622634887695e+00,-7.491286098957061768e-02,6.435202956199645996e-01,1.372879147529602051e-01,5.774909496307373047e+00,2.165860176086425781e+00
7.518797181546688080e-03,1.472349643707275391e+00,-7.592579722404479980e-02,6.664025783538818359e-01,1.442748904228210449e-01,5.769782066345214844e+00,2.164517402648925781e+00
1.002506259828805923e-02,1.495378136634826660e+00,-7.691565155982971191e-02,6.892593502998352051e-01,1.512962579727172852e-01,5.764360427856445312e+00,2.163209915161132812e+00
1.253132801502943039e-02,1.518456935882568359e+00,-7.788316905498504639e-02,7.120887041091918945e-01,1.583515107631683350e-01,5.758642196655273438e+00,2.161937713623046875e+00
1.503759436309337616e-02,1.541586875915527344e+00,-7.882784307003021240e-02,7.348886728286743164e-01,1.654406487941741943e-01,5.752624511718750000e+00,2.160701036453247070e+00
1.754385977983474731e-02,1.564767360687255859e+00,-7.975013554096221924e-02,7.576573491096496582e-01,1.725632548332214355e-01,5.746304512023925781e+00,2.159497976303100586e+00
2.005012519657611847e-02,1.587998628616333008e+00,-8.064994215965270996e-02,7.803924083709716797e-01,1.797194182872772217e-01,5.739680767059326172e+00,2.158329248428344727e+00
2.255639061331748962e-02,1.611281991004943848e+00,-8.152726292610168457e-02,8.030924201011657715e-01,1.869085431098937988e-01,5.732750415802001953e+00,2.157194137573242188e+00
2.506265603005886078e-02,1.634616851806640625e+00,-8.238236606121063232e-02,8.257550597190856934e-01,1.941307187080383301e-01,5.725510597229003906e+00,2.156092166900634766e+00
2.756892144680023193e-02,1.658003807067871094e+00,-8.321535587310791016e-02,8.483784198760986328e-01,2.013854980468750000e-01,5.717959403991699219e+00,2.155022621154785156e+00
3.007518872618675232e-02,1.681443095207214355e+00,-8.402624726295471191e-02,8.709604144096374512e-01,2.086727023124694824e-01,5.710093975067138672e+00,2.153985023498535156e+00
3.258145228028297424e-02,1.704934835433959961e+00,-8.481489121913909912e-02,8.934993743896484375e-01,2.159921526908874512e-01,5.701912879943847656e+00,2.152978897094726562e+00
3.508771955966949463e-02,1.728479146957397461e+00,-8.558188378810882568e-02,9.159932136535644531e-01,2.233434021472930908e-01,5.693414688110351562e+00,2.152003765106201172e+00
3.759398311376571655e-02,1.752076387405395508e+00,-8.632706105709075928e-02,9.384394288063049316e-01,2.307260632514953613e-01,5.684596538543701172e+00,2.151058912277221680e+00
4.010025039315223694e-02,1.775726914405822754e+00,-8.705031871795654297e-02,9.608371257781982422e-01,2.381401360034942627e-01,5.675456523895263672e+00,2.150143623352050781e+00
4.260651767253875732e-02,1.799430370330810547e+00,-8.775211870670318604e-02,9.831833839416503906e-01,2.455853521823883057e-01,5.665992736816406250e+00,2.149257659912109375e+00
4.511278122663497925e-02,1.823187112808227539e+00,-8.843247592449188232e-02,1.005476832389831543e+00,2.530609369277954102e-01,5.656204223632812500e+00,2.148400068283081055e+00
4.761904850602149963e-02,1.846997737884521484e+00,-8.909150958061218262e-02,1.027715206146240234e+00,2.605673074722290039e-01,5.646089076995849609e+00,2.147570133209228516e+00
5.012531206011772156e-02,1.870862126350402832e+00,-8.972901105880737305e-02,1.049896717071533203e+00,2.681034207344055176e-01,5.635644912719726562e+00,2.146767616271972656e+00
5.263157933950424194e-02,1.894780039787292480e+00,-9.034541249275207520e-02,1.072019457817077637e+00,2.756695747375488281e-01,5.624872207641601562e+00,2.145991325378417969e+00
5.513784289360046387e-02,1.918751955032348633e+00,-9.094083309173583984e-02,1.094081640243530273e+00,2.832651436328887939e-01,5.613766670227050781e+00,2.145240783691406250e+00
5.764411017298698425e-02,1.942778110504150391e+00,-9.151522815227508545e-02,1.116080880165100098e+00,2.908897995948791504e-01,5.602329254150390625e+00,2.144515275955200195e+00
6.015037745237350464e-02,1.966857910156250000e+00,-9.206877648830413818e-02,1.138015747070312500e+00,2.985433042049407959e-01,5.590557098388671875e+00,2.143813610076904297e+00
6.265664100646972656e-02,1.990991830825805664e+00,-9.260129928588867188e-02,1.159883737564086914e+00,3.062250614166259766e-01,5.578450679779052734e+00,2.143134832382202148e+00
6.516290456056594849e-02,2.015180349349975586e+00,-9.311328828334808350e-02,1.181683778762817383e+00,3.139348626136779785e-01,5.566007614135742188e+00,2.142479181289672852e+00
6.766917556524276733e-02,2.039422988891601562e+00,-9.360457956790924072e-02,1.203413248062133789e+00,3.216726779937744141e-01,5.553228378295898438e+00,2.141844987869262695e+00
7.017543911933898926e-02,2.063719511032104492e+00,-9.407517313957214355e-02,1.225070953369140625e+00,3.294375538825988770e-01,5.540110588073730469e+00,2.141231298446655273e+00
7.268170267343521118e-02,2.088070392608642578e+00,-9.452544152736663818e-02,1.246654510498046875e+00,3.372297286987304688e-01,5.526653766632080078e+00,2.140637397766113281e+00
7.518796622753143311e-02,2.112475633621215820e+00,-9.495510160923004150e-02,1.268161773681640625e+00,3.450483679771423340e-01,5.512857437133789062e+00,2.140062332153320312e+00
7.769423723220825195e-02,2.136935234069824219e+00,-9.536449611186981201e-02,1.289591789245605469e+00,3.528933525085449219e-01,5.498720169067382812e+00,2.139504909515380859e+00
8.020050078630447388e-02,2.161448478698730469e+00,-9.575328230857849121e-02,1.310942411422729492e+00,3.607643246650695801e-01,5.484243392944335938e+00,2.138964414596557617e+00
8.270676434040069580e-02,2.186016082763671875e+00,-9.612183272838592529e-02,1.332211494445800781e+00,3.686607480049133301e-01,5.469424724578857422e+00,2.138439893722534180e+00
8.521303534507751465e-02,2.210637331008911133e+00,-9.646989405155181885e-02,1.353397488594055176e+00,3.765824437141418457e-01,5.454264640808105469e+00,2.137929439544677734e+00
8.771929889917373657e-02,2.235312938690185547e+00,-9.679771959781646729e-02,1.374498367309570312e+00,3.845288157463073730e-01,5.438762664794921875e+00,2.137433052062988281e+00
9.022556245326995850e-02,2.260042190551757812e+00,-9.710526466369628906e-02,1.395512580871582031e+00,3.924997150897979736e-01,5.422916889190673828e+00,2.136948585510253906e+00
9.273182600736618042e-02,2.284825086593627930e+00,-9.739227592945098877e-02,1.416438579559326172e+00,4.004943668842315674e-01,5.406729698181152344e+00,2.136475563049316406e+00
9.523809701204299927e-02,2.309661865234375000e+00,-9.765884280204772949e-02,1.437273979187011719e+00,4.085130393505096436e-01,5.390199661254882812e+00,2.136012792587280273e+00
9.774436056613922119e-02,2.334551811218261719e+00,-9.790517389774322510e-02,1.458017706871032715e+00,4.165546000003814697e-01,5.373327255249023438e+00,2.135558605194091797e+00
1.002506241202354431e-01,2.359494447708129883e+00,-9.813071787357330322e-02,1.478667616844177246e+00,4.246192574501037598e-01,5.356112480163574219e+00,2.135111808776855469e+00
1.027568951249122620e-01,2.384490966796875000e+00,-9.833583235740661621e-02,1.499222278594970703e+00,4.327061176300048828e-01,5.338555335998535156e+00,2.134671211242675781e+00
1.052631586790084839e-01,2.409539699554443359e+00,-9.852004051208496094e-02,1.519679546356201172e+00,4.408149719238281250e-01,5.320655822753906250e+00,2.134235382080078125e+00
1.077694222331047058e-01,2.434641838073730469e+00,-9.868368506431579590e-02,1.540038347244262695e+00,4.489458501338958740e-01,5.302413940429687500e+00,2.133802890777587891e+00
1.102756857872009277e-01,2.459795475006103516e+00,-9.882603585720062256e-02,1.560296773910522461e+00,4.570977091789245605e-01,5.283831596374511719e+00,2.133372783660888672e+00
1.127819567918777466e-01,2.485002040863037109e+00,-9.894734621047973633e-02,1.580453276634216309e+00,4.652703106403350830e-01,5.264907360076904297e+00,2.132942676544189453e+00
1.152882203459739685e-01,2.510260581970214844e+00,-9.904742240905761719e-02,1.600506305694580078e+00,4.734636843204498291e-01,5.245642662048339844e+00,2.132511615753173828e+00
1.177944839000701904e-01,2.535570383071899414e+00,-9.912605583667755127e-02,1.620453834533691406e+00,4.816771447658538818e-01,5.226038455963134766e+00,2.132078647613525391e+00
1.203007549047470093e-01,2.560931682586669922e+00,-9.918293356895446777e-02,1.640294909477233887e+00,4.899101257324218750e-01,5.206094741821289062e+00,2.131641387939453125e+00
1.228070184588432312e-01,2.586343765258789062e+00,-9.921781718730926514e-02,1.660027503967285156e+00,4.981622695922851562e-01,5.185812950134277344e+00,2.131198406219482422e+00
1.253132820129394531e-01,2.611806869506835938e+00,-9.923045337200164795e-02,1.679650545120239258e+00,5.064334273338317871e-01,5.165193557739257812e+00,2.130748271942138672e+00
1.278195530176162720e-01,2.637320518493652344e+00,-9.922069311141967773e-02,1.699162244796752930e+00,5.147229433059692383e-01,5.144237041473388672e+00,2.130288839340209961e+00
1.303258091211318970e-01,2.662884235382080078e+00,-9.918817877769470215e-02,1.718560934066772461e+00,5.230305790901184082e-01,5.122944831848144531e+00,2.129818916320800781e+00
1.328320801258087158e-01,2.688497543334960938e+00,-9.913264214992523193e-02,1.737845659255981445e+00,5.313559174537658691e-01,5.101317405700683594e+00,2.129336833953857422e+00
1.353383511304855347e-01,2.714160203933715820e+00,-9.905368089675903320e-02,1.757014632225036621e+00,5.396984815597534180e-01,5.079356193542480469e+00,2.128840446472167969e+00
1.378446072340011597e-01,2.739871978759765625e+00,-9.895087778568267822e-02,1.776066422462463379e+00,5.480579137802124023e-01,5.057062625885009766e+00,2.128328084945678711e+00
1.403508782386779785e-01,2.765632152557373047e+00,-9.882371127605438232e-02,1.795000433921813965e+00,5.564338564872741699e-01,5.034437656402587891e+00,2.127798080444335938e+00
1.428571492433547974e-01,2.791440486907958984e+00,-9.867222607135772705e-02,1.813814043998718262e+00,5.648256540298461914e-01,5.011482238769531250e+00,2.127248287200927734e+00
